Entity,Code,Day,Monthly average
United States,USA,2012-12-15,-1.0976145
United States,USA,2013-01-15,-2.463198
United States,USA,2013-02-15,-1.3753012
United States,USA,2013-03-15,2.2309268
United States,USA,2013-04-15,7.1725307
United States,USA,2013-05-15,14.07369
United States,USA,2013-06-15,20.402716
United States,USA,2013-07-15,22.216576
United States,USA,2013-08-15,21.171143
United States,USA,2013-09-15,17.14623
United States,USA,2013-10-15,10.141688
United States,USA,2013-11-15,2.665825
United States,USA,2013-12-15,-3.0278254
United States,USA,2014-01-15,-2.3699605
United States,USA,2014-02-15,-2.393593
United States,USA,2014-03-15,2.4000506
United States,USA,2014-04-15,8.923371
United States,USA,2014-05-15,14.797938
United States,USA,2014-06-15,19.230867
United States,USA,2014-07-15,21.3933
United States,USA,2014-08-15,20.710732
United States,USA,2014-09-15,16.930607
United States,USA,2014-10-15,11.090343
United States,USA,2014-11-15,2.2583656
United States,USA,2014-12-15,0.40623632
United States,USA,2015-01-15,-2.130782
United States,USA,2015-02-15,-1.5582851
United States,USA,2015-03-15,4.6479716
United States,USA,2015-04-15,9.74916
United States,USA,2015-05-15,14.881978
United States,USA,2015-06-15,20.54416
United States,USA,2015-07-15,21.957773
United States,USA,2015-08-15,21.089792
United States,USA,2015-09-15,17.933317
United States,USA,2015-10-15,11.803592
United States,USA,2015-11-15,4.393361
United States,USA,2015-12-15,0.77242833
United States,USA,2016-01-15,-1.5555596
United States,USA,2016-02-15,1.7139809
United States,USA,2016-03-15,5.954588
United States,USA,2016-04-15,10.091528
United States,USA,2016-05-15,14.704148
United States,USA,2016-06-15,20.889801
United States,USA,2016-07-15,22.85412
United States,USA,2016-08-15,21.64751
United States,USA,2016-09-15,17.629316
United States,USA,2016-10-15,12.078096
United States,USA,2016-11-15,5.701624
United States,USA,2016-12-15,-1.9149151
United States,USA,2017-01-15,-1.8732328
United States,USA,2017-02-15,1.9183359
United States,USA,2017-03-15,4.0456843
United States,USA,2017-04-15,10.190167
United States,USA,2017-05-15,14.570052
United States,USA,2017-06-15,20.246443
United States,USA,2017-07-15,23.080124
United States,USA,2017-08-15,20.67805
United States,USA,2017-09-15,17.32136
United States,USA,2017-10-15,11.073573
United States,USA,2017-11-15,4.6774616
United States,USA,2017-12-15,-0.40826523
United States,USA,2018-01-15,-2.24993
United States,USA,2018-02-15,0.0045755045
United States,USA,2018-03-15,3.6745238
United States,USA,2018-04-15,7.8231215
United States,USA,2018-05-15,16.59505
United States,USA,2018-06-15,20.531963
United States,USA,2018-07-15,22.849
United States,USA,2018-08-15,21.391293
United States,USA,2018-09-15,17.952377
United States,USA,2018-10-15,10.391174
United States,USA,2018-11-15,2.5348487
United States,USA,2018-12-15,-0.498779
United States,USA,2019-01-15,-2.3074663
United States,USA,2019-02-15,-1.5019802
United States,USA,2019-03-15,3.342292
United States,USA,2019-04-15,9.630006
United States,USA,2019-05-15,14.192135
United States,USA,2019-06-15,19.624065
United States,USA,2019-07-15,22.812262
United States,USA,2019-08-15,21.699303
United States,USA,2019-09-15,18.599184
United States,USA,2019-10-15,9.468817
United States,USA,2019-11-15,3.0085816
United States,USA,2019-12-15,-0.36916402
United States,USA,2020-01-15,-1.7636682
United States,USA,2020-02-15,-0.8965415
United States,USA,2020-03-15,4.787855
United States,USA,2020-04-15,8.6912365
United States,USA,2020-05-15,14.967557
United States,USA,2020-06-15,20.20941
United States,USA,2020-07-15,22.808058
United States,USA,2020-08-15,22.287207
United States,USA,2020-09-15,17.145977
United States,USA,2020-10-15,10.388611
United States,USA,2020-11-15,5.0629487
United States,USA,2020-12-15,-0.41147608
United States,USA,2021-01-15,-0.9636785
United States,USA,2021-02-15,-3.6209807
United States,USA,2021-03-15,4.219833
United States,USA,2021-04-15,8.859586
United States,USA,2021-05-15,14.416773
United States,USA,2021-06-15,21.323225
United States,USA,2021-07-15,22.683842
United States,USA,2021-08-15,21.578009
United States,USA,2021-09-15,17.846388
United States,USA,2021-10-15,11.455544
United States,USA,2021-11-15,3.639175
United States,USA,2021-12-15,1.1913205
United States,USA,2022-01-15,-3.3727252
United States,USA,2022-02-15,-1.6219887
United States,USA,2022-03-15,4.2809362
United States,USA,2022-04-15,8.488442
United States,USA,2022-05-15,15.128978
United States,USA,2022-06-15,20.608007
United States,USA,2022-07-15,23.184889
United States,USA,2022-08-15,21.801897
United States,USA,2022-09-15,18.170912
United States,USA,2022-10-15,10.723488
United States,USA,2022-11-15,2.6808946
United States,USA,2022-12-15,-1.6682689
United States,USA,2023-01-15,-0.5443969
United States,USA,2023-02-15,-0.4384129
United States,USA,2023-03-15,2.3750653
United States,USA,2023-04-15,7.91962
United States,USA,2023-05-15,15.296378
United States,USA,2023-06-15,19.386423
United States,USA,2023-07-15,23.168596
United States,USA,2023-08-15,22.189846
United States,USA,2023-09-15,17.964678
United States,USA,2023-10-15,11.079592
United States,USA,2023-11-15,4.680232
United States,USA,2023-12-15,1.1658766
United States,USA,2024-01-15,-2.7272227
United States,USA,2024-02-15,1.9572763
United States,USA,2024-03-15,4.290544
United States,USA,2024-04-15,9.773721
United States,USA,2024-05-15,14.883865
United States,USA,2024-06-15,20.794046
United States,USA,2024-07-15,22.56305
United States,USA,2024-08-15,21.362272
United States,USA,2024-09-15,18.20433
United States,USA,2024-10-15,12.209506
United States,USA,2024-11-15,4.3120155
United States,USA,2024-12-15,0.94223034
United States,USA,2025-01-15,-3.0594468
United States,USA,2025-02-15,-0.6777566
United States,USA,2025-03-15,5.5204263
United States,USA,2025-04-15,9.870058
United States,USA,2025-05-15,14.707499
United States,USA,2025-06-15,20.368093
United States,USA,2025-07-15,22.689156
United States,USA,2025-08-15,21.348618
United States,USA,2025-09-15,17.839615
United States,USA,2025-10-15,11.637465
United States,USA,2025-11-15,5.3564487
United States,USA,2025-12-15,-0.49487188
United States,USA,2026-01-15,-2.65393
