Entity,Year,Code,co2_per_capita,renewables_energy_per_capita,renewables_share_energy
Europe,2006,,8.903,3288.6,7.397
Europe,2007,,8.811,3483.93,7.907
Europe,2008,,8.702,3678.536,8.393
Europe,2009,,7.988,3798.921,9.244
Europe,2010,,8.279,4077.614,9.567
Europe,2011,,8.166,4002.945,9.526
Europe,2012,,8.092,4423.889,10.57
Europe,2013,,7.868,4753.594,11.502
Europe,2014,,7.544,4857.845,12.116
Europe,2015,,7.534,4952.626,12.421
Europe,2016,,7.495,5046.222,12.54
Europe,2017,,7.527,5089.03,12.543
Europe,2018,,7.49,5412.717,13.225
Europe,2019,,7.245,5513.624,13.695
Europe,2020,,6.697,5972.467,15.825
Europe,2021,,7.025,6089.43,15.461
Europe,2022,,6.813,6019.265,15.607
Europe,2023,,6.546,6562.606,17.243
Europe,2024,,6.542,6926.432,17.849
European Union (27),1965,,7.223,1610.928,6.345
European Union (27),1966,,7.385,1745.873,6.704
European Union (27),1967,,7.496,1675.164,6.261
European Union (27),1968,,7.901,1699.649,5.973
European Union (27),1969,,8.363,1660.558,5.429
European Union (27),1970,,8.675,1752.661,5.374
European Union (27),1971,,8.863,1731.809,5.182
European Union (27),1972,,9.132,1800.697,5.151
European Union (27),1973,,9.511,1783.147,4.859
European Union (27),1974,,9.403,1912.247,5.297
European Union (27),1975,,9.172,1919.236,5.37
European Union (27),1976,,9.82,1675.265,4.432
European Union (27),1977,,9.676,2199.338,5.761
European Union (27),1978,,9.954,2136.813,5.407
European Union (27),1979,,10.178,2227.246,5.465
European Union (27),1980,,10.036,2113.309,5.299
European Union (27),1981,,9.464,2074.658,5.387
European Union (27),1982,,9.206,2028.007,5.411
European Union (27),1983,,9.075,2063.649,5.5
European Union (27),1984,,9.138,2089.599,5.419
European Union (27),1985,,9.252,2131.027,5.272
European Union (27),1986,,9.187,2018.784,4.938
European Union (27),1987,,9.241,2200.335,5.286
European Union (27),1988,,9.11,2317.435,5.54
European Union (27),1989,,9.167,1909.293,4.567
European Union (27),1990,,9.215,2017.032,4.801
European Union (27),1991,,9.028,2102.748,5.066
European Union (27),1992,,8.697,2188.141,5.382
European Union (27),1993,,8.508,2251.553,5.596
European Union (27),1994,,8.442,2319.187,5.797
European Union (27),1995,,8.538,2332.157,5.685
European Union (27),1996,,8.73,2329.236,5.51
European Union (27),1997,,8.565,2440.211,5.814
European Union (27),1998,,8.542,2555.895,6.049
European Union (27),1999,,8.409,2566.776,6.119
European Union (27),2000,,8.42,2722.328,6.501
European Union (27),2001,,8.533,2882.928,6.776
European Union (27),2002,,8.508,2580.313,6.112
European Union (27),2003,,8.66,2601.28,6.071
European Union (27),2004,,8.644,2872.791,6.632
European Union (27),2005,,8.595,2886.183,6.687
European Union (27),2006,,8.612,3070.685,7.083
European Union (27),2007,,8.471,3294.219,7.714
European Union (27),2008,,8.268,3600.728,8.495
European Union (27),2009,,7.575,3810.731,9.598
European Union (27),2010,,7.772,4317.844,10.476
European Union (27),2011,,7.537,4267.933,10.687
European Union (27),2012,,7.372,4782.057,12.131
European Union (27),2013,,7.18,5155.957,13.208
European Union (27),2014,,6.86,5324.969,14.118
European Union (27),2015,,6.972,5418.476,14.221
European Union (27),2016,,6.955,5461.75,14.233
European Union (27),2017,,6.997,5477.166,14.029
European Union (27),2018,,6.83,5861.853,15.098
European Union (27),2019,,6.493,6036.562,15.812
European Union (27),2020,,5.867,6496.231,18.448
European Union (27),2021,,6.257,6614.31,17.812
European Union (27),2022,,6.094,6617.95,18.601
European Union (27),2023,,5.514,7318.17,21.294
European Union (27),2024,,5.388,7769.514,22.291
Finland,1965,FIN,5.543,5692.636,22.846
Finland,1966,FIN,6.437,6293.99,22.266
Finland,1967,FIN,6.206,7012.394,23.723
Finland,1968,FIN,7.192,6296.431,19.666
Finland,1969,FIN,8.196,5253.567,14.871
Finland,1970,FIN,8.761,5743.478,14.698
Finland,1971,FIN,8.789,6432.793,16.066
Finland,1972,FIN,9.507,6214.565,14.797
Finland,1973,FIN,10.57,6298.521,13.676
Finland,1974,FIN,9.937,7523.122,17.157
Finland,1975,FIN,9.769,7198.664,16.222
Finland,1976,FIN,10.835,5573.86,11.846
Finland,1977,FIN,10.581,7141.037,14.424
Finland,1978,FIN,10.905,5727.699,11.157
Finland,1979,FIN,11.384,6337.875,11.46
Finland,1980,FIN,12.165,5938.252,10.815
Finland,1981,FIN,10.709,7902.184,14.372
Finland,1982,FIN,8.904,7532.401,13.954
Finland,1983,FIN,8.539,7768.964,14.629
Finland,1984,FIN,8.633,7537.862,13.688
Finland,1985,FIN,10.107,6989.032,12.132
Finland,1986,FIN,10.82,6997.681,12.047
Finland,1987,FIN,11.665,7769.69,12.746
Finland,1988,FIN,10.524,7503.778,12.424
Finland,1989,FIN,10.565,7290.785,12.059
Finland,1990,FIN,11.415,9280.447,14.47
Finland,1991,FIN,11.008,10427.364,15.994
Finland,1992,FIN,10.764,11391.946,17.648
Finland,1993,FIN,11.116,11065.631,17.067
Finland,1994,FIN,12.133,10409.118,15.338
Finland,1995,FIN,11.379,11078.025,17.208
Finland,1996,FIN,12.496,10026.09,14.945
Finland,1997,FIN,12.199,11423.412,16.853
Finland,1998,FIN,11.518,13784.965,19.755
Finland,1999,FIN,11.398,11959.002,17.504
Finland,2000,FIN,11.015,13125.509,19.163
Finland,2001,FIN,12.051,12052.025,17.238
Finland,2002,FIN,12.508,11114.449,15.842
Finland,2003,FIN,13.938,10694.037,14.248
Finland,2004,FIN,13.187,14124.952,18.999
Finland,2005,FIN,10.877,12817.831,19.045
Finland,2006,FIN,12.983,12334.776,17.117
Finland,2007,FIN,12.624,13111.018,18.351
Finland,2008,FIN,11.033,14909.633,21.795
Finland,2009,FIN,10.474,11758.009,18.615
Finland,2010,FIN,11.95,13082.733,19.122
Finland,2011,FIN,10.513,13137.611,20.478
Finland,2012,FIN,9.449,15120.541,24.392
Finland,2013,FIN,9.509,13737.791,22.15
Finland,2014,FIN,8.719,14412.535,24.195
Finland,2015,FIN,8.065,16260.123,27.515
Finland,2016,FIN,8.598,15521.872,25.935
Finland,2017,FIN,8.107,16364.369,27.99
Finland,2018,FIN,8.292,16683.545,27.99
Finland,2019,FIN,7.687,16663.199,28.591
Finland,2020,FIN,6.821,18160.797,32.588
Finland,2021,FIN,6.825,19901.895,35.036
Finland,2022,FIN,6.525,19696.879,34.897
Finland,2023,FIN,5.677,20927.711,35.888
Finland,2024,FIN,5.301,22644.117,38.894
France,1965,FRA,7.501,2670.037,9.728
France,1966,FRA,7.784,2973.331,10.697
France,1967,FRA,8.216,2580.735,8.802
France,1968,FRA,8.431,2862.151,9.348
France,1969,FRA,8.869,2986.691,8.942
France,1970,FRA,9.13,3182.854,8.881
France,1971,FRA,9.69,2730.634,7.426
France,1972,FRA,10.003,2712.938,6.99
France,1973,FRA,10.403,2632.818,6.294
France,1974,FRA,9.994,3068.743,7.528
France,1975,FRA,9.214,3249.347,8.476
France,1976,FRA,9.958,2625.932,6.485
France,1977,FRA,9.611,4066.08,9.91
France,1978,FRA,9.97,3636.947,8.583
France,1979,FRA,9.99,3524.636,8.123
France,1980,FRA,9.538,3665.608,8.555
France,1981,FRA,8.526,3782.234,9.025
France,1982,FRA,8.123,3679.102,9.164
France,1983,FRA,7.762,3603.03,8.834
France,1984,FRA,7.515,3398.943,8.1
France,1985,FRA,7.352,3193.816,7.41
France,1986,FRA,7.047,3206.297,7.309
France,1987,FRA,6.961,3591.512,8.054
France,1988,FRA,6.877,3869.684,8.617
France,1989,FRA,7.082,2386.902,5.272
France,1990,FRA,6.929,2730.409,5.936
France,1991,FRA,7.318,2908.523,5.941
France,1992,FRA,7.096,3445.254,7.019
France,1993,FRA,6.728,3231.865,6.624
France,1994,FRA,6.585,3909.055,8.129
France,1995,FRA,6.65,3645.56,7.396
France,1996,FRA,6.909,3317.204,6.506
France,1997,FRA,6.762,3225.766,6.447
France,1998,FRA,7.049,3126.331,6.12
France,1999,FRA,6.991,3613.676,7.02
France,2000,FRA,6.85,3319.751,6.409
France,2001,FRA,6.871,3666.771,7.072
France,2002,FRA,6.747,3002.785,5.879
France,2003,FRA,6.799,2911.813,5.675
France,2004,FRA,6.769,2921.737,5.684
France,2005,FRA,6.756,2591.232,5.122
France,2006,FRA,6.554,2842.63,5.702
France,2007,FRA,6.35,3096.374,6.356
France,2008,FRA,6.209,3552.378,7.319
France,2009,FRA,5.885,3375.438,7.409
France,2010,FRA,5.946,3682.448,7.882
France,2011,FRA,5.572,3112.299,6.93
France,2012,FRA,5.59,3888.931,8.714
France,2013,FRA,5.591,4416.388,9.857
France,2014,FRA,5.067,4215.729,9.885
France,2015,FRA,5.116,4107.176,9.568
France,2016,FRA,5.155,4344.005,10.362
France,2017,FRA,5.183,4085.659,9.803
France,2018,FRA,4.931,4836.418,11.513
France,2019,FRA,4.812,4814.923,11.754
France,2020,FRA,4.272,5103.89,13.972
France,2021,FRA,4.65,5006.168,12.914
France,2022,FRA,4.456,4715.598,13.726
France,2023,FRA,4.068,5653.612,15.867
France,2024,FRA,3.969,6138.945,16.465
Germany,1965,DEU,12.635,592.809,1.518
Germany,1966,DEU,12.415,635.751,1.638
Germany,1967,DEU,12.161,600.961,1.559
Germany,1968,DEU,12.734,607.099,1.482
Germany,1969,DEU,13.494,488.722,1.115
Germany,1970,DEU,13.117,659.544,1.43
Germany,1971,DEU,13.237,516.986,1.113
Germany,1972,DEU,13.229,506.436,1.058
Germany,1973,DEU,13.748,577.393,1.145
Germany,1974,DEU,13.45,662.788,1.338
Germany,1975,DEU,12.735,646.759,1.354
Germany,1976,DEU,13.92,541.778,1.058
Germany,1977,DEU,13.462,674.484,1.318
Germany,1978,DEU,13.814,705.665,1.329
Germany,1979,DEU,14.303,711.166,1.27
Germany,1980,DEU,14.045,754.825,1.397
Germany,1981,DEU,13.364,777.034,1.487
Germany,1982,DEU,12.954,771.096,1.529
Germany,1983,DEU,12.93,726.004,1.416
Germany,1984,DEU,13.244,723.93,1.358
Germany,1985,DEU,13.407,686.75,1.25
Germany,1986,DEU,13.439,726.065,1.333
Germany,1987,DEU,13.224,781.838,1.426
Germany,1988,DEU,13.124,777.137,1.419
Germany,1989,DEU,12.766,711.528,1.324
Germany,1990,DEU,13.233,662.884,1.264
Germany,1991,DEU,12.664,610.564,1.202
Germany,1992,DEU,11.978,710.027,1.438
Germany,1993,DEU,11.774,731.283,1.498
Germany,1994,DEU,11.535,793.376,1.646
Germany,1995,DEU,11.46,863.461,1.788
Germany,1996,DEU,11.666,792.516,1.593
Germany,1997,DEU,11.306,837.673,1.709
Germany,1998,DEU,11.261,912.236,1.868
Germany,1999,DEU,10.963,1020.992,2.112
Germany,2000,DEU,10.99,1329.505,2.738
Germany,2001,DEU,11.171,1381.812,2.798
Germany,2002,DEU,10.952,1637.896,3.365
Germany,2003,DEU,10.894,1690.942,3.477
Germany,2004,DEU,10.678,2098.536,4.316
Germany,2005,DEU,10.578,2399.464,4.992
Germany,2006,DEU,10.85,2868.235,5.797
Germany,2007,DEU,10.408,3511.12,7.37
Germany,2008,DEU,10.561,3628.964,7.523
Germany,2009,DEU,9.761,3695.886,8.147
Germany,2010,DEU,10.228,4005.2,8.465
Germany,2011,DEU,9.95,4636.815,10.168
Germany,2012,DEU,10.061,5292.822,11.46
Germany,2013,DEU,10.263,5500.856,11.603
Germany,2014,DEU,9.74,5811.58,12.84
Germany,2015,DEU,9.757,6542.757,14.318
Germany,2016,DEU,9.642,6492.84,14.101
Germany,2017,DEU,9.441,7250.198,15.388
Germany,2018,DEU,9.101,7434.165,16.263
Germany,2019,DEU,8.481,7920.285,17.811
Germany,2020,DEU,7.739,8283.994,20.017
Germany,2021,DEU,8.101,7699.383,18.082
Germany,2022,DEU,7.942,8268.65,20.329
Germany,2023,DEU,7.023,8764.478,23.603
Germany,2024,DEU,6.769,8949.748,23.968
Greece,1965,GRC,1.995,261.108,2.816
Greece,1966,GRC,2.17,560.089,5.566
Greece,1967,GRC,2.253,532.759,4.849
Greece,1968,GRC,2.556,435.884,3.843
Greece,1969,GRC,2.908,652.6,5.47
Greece,1970,GRC,2.758,837.038,6.318
Greece,1971,GRC,3.158,838.357,5.332
Greece,1972,GRC,3.557,840.297,4.796
Greece,1973,GRC,4.175,694.335,3.459
Greece,1974,GRC,4.039,730.134,3.736
Greece,1975,GRC,4.289,620.743,2.828
Greece,1976,GRC,4.657,569.795,2.386
Greece,1977,GRC,5.027,575.186,2.354
Greece,1978,GRC,5.078,883.922,3.599
Greece,1979,GRC,5.335,1039.843,4.894
Greece,1980,GRC,5.272,979.791,4.717
Greece,1981,GRC,5.139,970.218,4.831
Greece,1982,GRC,5.236,1005.509,4.982
Greece,1983,GRC,5.528,655.804,3.252
Greece,1984,GRC,5.64,796.691,3.811
Greece,1985,GRC,5.955,776.291,3.535
Greece,1986,GRC,5.776,890.705,4.07
Greece,1987,GRC,6.175,762.245,3.198
Greece,1988,GRC,6.589,646.064,2.577
Greece,1989,GRC,7.166,516.787,1.908
Greece,1990,GRC,8.133,479.548,1.714
Greece,1991,GRC,8.092,835.761,2.961
Greece,1992,GRC,8.202,593.133,2.074
Greece,1993,GRC,8.094,621.6,2.157
Greece,1994,GRC,8.258,699.901,2.4
Greece,1995,GRC,8.267,941.166,3.131
Greece,1996,GRC,8.431,1152.624,3.76
Greece,1997,GRC,8.831,1024.571,3.265
Greece,1998,GRC,9.238,985.39,2.971
Greece,1999,GRC,9.129,1231.24,3.733
Greece,2000,GRC,9.55,1067.56,3.092
Greece,2001,GRC,9.717,749.605,2.164
Greece,2002,GRC,9.642,904.342,2.621
Greece,2003,GRC,9.989,1474.247,4.052
Greece,2004,GRC,10.001,1469.656,4.05
Greece,2005,GRC,10.371,1573.091,4.335
Greece,2006,GRC,10.205,1916.253,5.149
Greece,2007,GRC,10.37,1201.556,3.171
Greece,2008,GRC,10.028,1448.786,3.908
Greece,2009,GRC,9.391,2018.198,5.675
Greece,2010,GRC,8.751,2605.631,7.696
Greece,2011,GRC,8.507,2017.33,6.058
Greece,2012,GRC,8.272,2506.954,7.967
Greece,2013,GRC,7.45,3504.99,11.795
Greece,2014,GRC,7.219,3017.801,10.745
Greece,2015,GRC,6.924,3658.009,12.796
Greece,2016,GRC,6.622,3667.434,12.975
Greece,2017,GRC,6.96,3407.002,11.449
Greece,2018,GRC,6.689,3944.334,13.164
Greece,2019,GRC,6.133,3952.095,13.476
Greece,2020,GRC,5.194,4302.183,16.785
Greece,2021,GRC,5.438,5429.429,19.2
Greece,2022,GRC,5.533,5610.2,18.783
Greece,2023,GRC,5.076,6120.928,20.754
Greece,2024,GRC,5.311,6650.131,21.055
High-income countries,1965,,9.156,2092.811,6.552
High-income countries,1966,,9.438,2188.462,6.592
High-income countries,1967,,9.706,2222.166,6.496
High-income countries,1968,,10.096,2262.069,6.265
High-income countries,1969,,10.616,2343.59,6.138
High-income countries,1970,,11.261,2389.083,5.974
High-income countries,1971,,11.441,2471.313,6.082
High-income countries,1972,,11.843,2560.209,6.047
High-income countries,1973,,12.301,2546.706,5.748
High-income countries,1974,,12.028,2766.686,6.398
High-income countries,1975,,11.716,2746.583,6.524
High-income countries,1976,,12.249,2623.293,5.952
High-income countries,1977,,12.372,2623.997,5.861
High-income countries,1978,,12.608,2798.066,6.117
High-income countries,1979,,12.787,2890.354,6.199
High-income countries,1980,,12.547,2851.961,6.343
High-income countries,1981,,12.006,2858.414,6.546
High-income countries,1982,,11.598,2928.182,6.945
High-income countries,1983,,11.52,3054.734,7.251
High-income countries,1984,,11.699,3047.246,6.983
High-income countries,1985,,11.876,3408.842,6.467
High-income countries,1986,,11.818,3401.779,6.395
High-income countries,1987,,11.958,3375.867,6.2
High-income countries,1988,,12.241,3362.656,6.026
High-income countries,1989,,12.313,3301.863,5.865
High-income countries,1990,,12.677,3421.707,6.088
High-income countries,1991,,12.866,3460.284,6.181
High-income countries,1992,,12.096,3429.5,6.147
High-income countries,1993,,12.051,3573.614,6.418
High-income countries,1994,,11.958,3490.202,6.271
High-income countries,1995,,11.99,3662.251,6.505
High-income countries,1996,,12.217,3657.292,6.374
High-income countries,1997,,12.094,3753.509,6.555
High-income countries,1998,,12.006,3692.592,6.458
High-income countries,1999,,12.089,3721.654,6.448
High-income countries,2000,,12.376,3758.135,6.425
High-income countries,2001,,12.317,3573.112,6.141
High-income countries,2002,,12.321,3599.38,6.169
High-income countries,2003,,12.475,3551.645,6.05
High-income countries,2004,,12.564,3689.389,6.19
High-income countries,2005,,12.549,3774.444,6.323
High-income countries,2006,,12.527,3881.255,6.502
High-income countries,2007,,12.535,3939.094,6.578
High-income countries,2008,,12.249,4133.595,6.994
High-income countries,2009,,11.445,4251.656,7.594
High-income countries,2010,,11.845,4423.208,7.627
High-income countries,2011,,11.694,4639.039,8.082
High-income countries,2012,,11.557,4824.621,8.505
High-income countries,2013,,11.463,5084.474,8.935
High-income countries,2014,,11.253,5183.157,9.191
High-income countries,2015,,11.124,5318.064,9.453
High-income countries,2016,,10.948,5497.579,9.776
High-income countries,2017,,10.89,5700.594,10.107
High-income countries,2018,,10.939,5915.714,10.373
High-income countries,2019,,10.686,6026.959,10.729
High-income countries,2020,,9.786,6405.627,12.223
High-income countries,2021,,10.26,6598.495,12.07
High-income countries,2022,,10.153,6837.891,12.451
High-income countries,2023,,9.833,7122.755,13.159
High-income countries,2024,,9.794,7531.655,13.733
Hong Kong,1965,HKG,1.246,0.0,0.0
Hong Kong,1966,HKG,1.285,0.0,0.0
Hong Kong,1967,HKG,1.742,0.0,0.0
Hong Kong,1968,HKG,2.022,0.0,0.0
Hong Kong,1969,HKG,2.283,0.0,0.0
Hong Kong,1970,HKG,2.244,0.0,0.0
Hong Kong,1971,HKG,2.294,0.0,0.0
Hong Kong,1972,HKG,2.253,0.0,0.0
Hong Kong,1973,HKG,2.199,0.0,0.0
Hong Kong,1974,HKG,2.463,0.0,0.0
Hong Kong,1975,HKG,2.48,0.0,0.0
Hong Kong,1976,HKG,2.748,0.0,0.0
Hong Kong,1977,HKG,3.054,0.0,0.0
Hong Kong,1978,HKG,3.305,0.0,0.0
Hong Kong,1979,HKG,3.26,0.0,0.0
Hong Kong,1980,HKG,3.345,0.0,0.0
Hong Kong,1981,HKG,3.678,0.0,0.0
Hong Kong,1982,HKG,3.81,0.0,0.0
Hong Kong,1983,HKG,3.995,0.0,0.0
Hong Kong,1984,HKG,4.181,0.0,0.0
Hong Kong,1985,HKG,4.243,0.0,0.0
Hong Kong,1986,HKG,4.682,0.0,0.0
Hong Kong,1987,HKG,5.119,0.0,0.0
Hong Kong,1988,HKG,5.31,0.0,0.0
Hong Kong,1989,HKG,5.44,0.0,0.0
Hong Kong,1990,HKG,4.882,0.0,0.0
Hong Kong,1991,HKG,5.057,0.0,0.0
Hong Kong,1992,HKG,5.716,0.0,0.0
Hong Kong,1993,HKG,5.892,0.0,0.0
Hong Kong,1994,HKG,5.144,0.0,0.0
Hong Kong,1995,HKG,5.062,0.0,0.0
Hong Kong,1996,HKG,4.587,0.0,0.0
Hong Kong,1997,HKG,4.753,0.0,0.0
Hong Kong,1998,HKG,5.969,0.0,0.0
Hong Kong,1999,HKG,6.431,0.0,0.0
Hong Kong,2000,HKG,5.931,0.0,0.0
Hong Kong,2001,HKG,5.504,0.0,0.0
Hong Kong,2002,HKG,5.718,0.0,0.0
Hong Kong,2003,HKG,6.23,0.0,0.0
Hong Kong,2004,HKG,5.975,0.0,0.0
Hong Kong,2005,HKG,6.273,0.0,0.0
Hong Kong,2006,HKG,6.047,0.268,0.001
Hong Kong,2007,HKG,6.25,0.33,0.001
Hong Kong,2008,HKG,6.095,0.303,0.001
Hong Kong,2009,HKG,5.886,0.408,0.001
Hong Kong,2010,HKG,5.641,23.92,0.053
Hong Kong,2011,HKG,6.041,62.996,0.137
Hong Kong,2012,HKG,5.935,26.636,0.061
Hong Kong,2013,HKG,6.1,71.701,0.16
Hong Kong,2014,HKG,6.215,65.31,0.151
Hong Kong,2015,HKG,5.756,90.66,0.205
Hong Kong,2016,HKG,5.854,92.977,0.206
Hong Kong,2017,HKG,5.699,100.925,0.209
Hong Kong,2018,HKG,5.702,116.852,0.24
Hong Kong,2019,HKG,5.597,116.405,0.253
Hong Kong,2020,HKG,4.474,159.125,0.462
Hong Kong,2021,HKG,4.494,212.949,0.654
Hong Kong,2022,HKG,4.121,269.801,0.927
Hong Kong,2023,HKG,4.428,353.581,1.048
Hong Kong,2024,HKG,4.494,385.705,1.048
Hungary,1965,HUN,6.042,20.543,0.113
Hungary,1966,HUN,6.068,27.312,0.148
Hungary,1967,HUN,5.762,22.316,0.127
Hungary,1968,HUN,5.967,24.132,0.133
Hungary,1969,HUN,6.067,25.666,0.133
Hungary,1970,HUN,6.782,23.698,0.114
Hungary,1971,HUN,6.694,25.78,0.121
Hungary,1972,HUN,6.688,29.453,0.134
Hungary,1973,HUN,7.015,26.957,0.114
Hungary,1974,HUN,7.081,21.523,0.088
Hungary,1975,HUN,7.161,43.057,0.168
Hungary,1976,HUN,7.558,43.346,0.159
Hungary,1977,HUN,7.82,38.961,0.137
Hungary,1978,HUN,8.259,35.959,0.118
Hungary,1979,HUN,8.052,37.944,0.126
Hungary,1980,HUN,8.106,29.088,0.097
Hungary,1981,HUN,8.094,43.698,0.146
Hungary,1982,HUN,8.135,41.447,0.138
Hungary,1983,HUN,8.373,40.531,0.137
Hungary,1984,HUN,8.566,47.502,0.156
Hungary,1985,HUN,8.148,40.822,0.129
Hungary,1986,HUN,7.915,40.698,0.129
Hungary,1987,HUN,8.03,44.815,0.136
Hungary,1988,HUN,7.474,44.964,0.139
Hungary,1989,HUN,7.297,42.187,0.133
Hungary,1990,HUN,7.073,52.746,0.17
Hungary,1991,HUN,6.728,59.152,0.204
Hungary,1992,HUN,6.005,56.177,0.202
Hungary,1993,HUN,6.082,56.29,0.21
Hungary,1994,HUN,5.985,56.852,0.208
Hungary,1995,HUN,5.954,60.815,0.22
Hungary,1996,HUN,6.123,70.98,0.251
Hungary,1997,HUN,6.0,74.487,0.269
Hungary,1998,HUN,5.975,60.288,0.214
Hungary,1999,HUN,6.025,69.072,0.245
Hungary,2000,HUN,5.716,68.452,0.249
Hungary,2001,HUN,5.885,72.327,0.256
Hungary,2002,HUN,5.804,65.641,0.238
Hungary,2003,HUN,6.095,96.94,0.345
Hungary,2004,HUN,5.947,281.331,0.985
Hungary,2005,HUN,5.975,574.318,1.882
Hungary,2006,HUN,5.923,466.555,1.557
Hungary,2007,HUN,5.825,604.805,2.042
Hungary,2008,HUN,5.709,904.684,3.095
Hungary,2009,HUN,5.145,1071.671,3.947
Hungary,2010,HUN,5.21,1108.507,3.999
Hungary,2011,HUN,5.042,990.439,3.672
Hungary,2012,HUN,4.711,959.683,3.807
Hungary,2013,HUN,4.397,985.639,4.115
Hungary,2014,HUN,4.425,1158.658,4.82
Hungary,2015,HUN,4.733,1166.435,4.593
Hungary,2016,HUN,4.795,1183.668,4.567
Hungary,2017,HUN,5.051,1220.274,4.454
Hungary,2018,HUN,5.051,1337.074,4.84
Hungary,2019,HUN,5.031,1576.425,5.632
Hungary,2020,HUN,4.832,1876.92,6.807
Hungary,2021,HUN,4.978,2246.434,7.724
Hungary,2022,HUN,4.674,2454.476,8.957
Hungary,2023,HUN,4.165,2844.661,10.886
Hungary,2024,HUN,4.136,3394.358,12.706
Iceland,1965,ISL,7.255,9252.808,23.831
Iceland,1966,ISL,7.64,8860.021,22.105
Iceland,1967,ISL,7.259,9285.062,23.785
Iceland,1968,ISL,7.907,9468.365,23.237
Iceland,1969,ISL,6.213,11776.386,29.321
Iceland,1970,ISL,6.789,19377.602,40.212
Iceland,1971,ISL,7.141,20925.688,40.226
Iceland,1972,ISL,7.088,22929.912,41.135
Iceland,1973,ISL,8.24,28881.314,43.569
Iceland,1974,ISL,8.076,29222.193,45.902
Iceland,1975,ISL,7.4,28363.203,47.037
Iceland,1976,ISL,7.726,29908.814,48.49
Iceland,1977,ISL,8.577,31777.393,49.072
Iceland,1978,ISL,8.591,32620.32,48.615
Iceland,1979,ISL,8.784,35317.371,50.983
Iceland,1980,ISL,8.161,37785.773,54.467
Iceland,1981,ISL,7.575,38798.227,55.389
Iceland,1982,ISL,6.816,42595.066,60.156
Iceland,1983,ISL,6.509,44322.418,61.455
Iceland,1984,ISL,7.556,45610.918,60.739
Iceland,1985,ISL,6.721,44362.898,60.158
Iceland,1986,ISL,7.32,46609.617,60.87
Iceland,1987,ISL,7.504,47196.406,60.367
Iceland,1988,ISL,7.372,49389.316,60.846
Iceland,1989,ISL,7.5,49466.09,59.57
Iceland,1990,ISL,8.719,48744.508,59.083
Iceland,1991,ISL,8.157,47989.496,60.295
Iceland,1992,ISL,8.615,48544.781,59.704
Iceland,1993,ISL,9.1,49993.406,59.777
Iceland,1994,ISL,8.83,50112.98,59.774
Iceland,1995,ISL,9.229,51932.367,60.333
Iceland,1996,ISL,9.38,53169.883,58.579
Iceland,1997,ISL,9.655,57574.727,61.043
Iceland,1998,ISL,9.625,64345.223,63.559
Iceland,1999,ISL,10.239,73281.195,66.566
Iceland,2000,ISL,10.426,77405.289,67.054
Iceland,2001,ISL,10.051,79598.852,68.986
Iceland,2002,ISL,10.403,81943.969,69.06
Iceland,2003,ISL,10.308,81789.383,69.009
Iceland,2004,ISL,10.635,82006.734,68.283
Iceland,2005,ISL,10.026,80992.43,68.112
Iceland,2006,ISL,10.38,91206.695,70.76
Iceland,2007,ISL,11.212,107530.93,74.337
Iceland,2008,ISL,12.004,143010.688,81.016
Iceland,2009,ISL,11.708,145809.391,82.491
Iceland,2010,ISL,11.399,146924.734,83.047
Iceland,2011,ISL,10.978,147567.891,83.32
Iceland,2012,ISL,10.906,149841.172,83.699
Iceland,2013,ISL,10.772,152295.828,83.281
Iceland,2014,ISL,10.519,150204.062,83.012
Iceland,2015,ISL,10.699,153153.984,82.168
Iceland,2016,ISL,10.411,148569.797,80.357
Iceland,2017,ISL,10.511,149886.094,79.303
Iceland,2018,ISL,10.388,151207.688,78.7
Iceland,2019,ISL,9.849,145113.766,80.843
Iceland,2020,ISL,9.107,140052.078,86.126
Iceland,2021,ISL,9.367,140773.203,84.494
Iceland,2022,ISL,9.458,140857.141,82.075
Iceland,2023,ISL,9.052,138548.938,81.843
Iceland,2024,ISL,9.667,132214.828,80.498
India,1965,IND,0.314,108.625,8.643
India,1966,IND,0.318,111.033,8.758
India,1967,IND,0.312,121.608,9.507
India,1968,IND,0.333,137.365,10.267
India,1969,IND,0.332,149.324,10.283
India,1970,IND,0.333,154.884,11.151
India,1971,IND,0.344,166.161,11.763
India,1972,IND,0.356,157.776,10.844
India,1973,IND,0.358,164.28,11.316
India,1974,IND,0.362,154.479,10.271
India,1975,IND,0.383,180.253,11.421
India,1976,IND,0.391,184.182,11.392
India,1977,IND,0.404,196.268,11.753
India,1978,IND,0.401,237.967,14.048
India,1979,IND,0.412,224.193,12.826
India,1980,IND,0.424,224.053,12.743
India,1981,IND,0.448,233.225,12.261
India,1982,IND,0.452,192.276,10.437
India,1983,IND,0.478,180.985,9.558
India,1984,IND,0.479,197.54,10.001
India,1985,IND,0.515,186.275,9.14
India,1986,IND,0.539,184.68,8.662
India,1987,IND,0.563,168.132,7.582
India,1988,IND,0.594,183.368,7.771
India,1989,IND,0.639,208.06,8.257
India,1990,IND,0.668,213.461,8.068
India,1991,IND,0.696,232.984,8.531
India,1992,IND,0.726,216.214,7.687
India,1993,IND,0.734,214.213,7.588
India,1994,IND,0.759,238.568,8.187
India,1995,IND,0.792,222.883,7.258
India,1996,IND,0.841,200.725,6.408
India,1997,IND,0.859,201.034,6.202
India,1998,IND,0.86,234.98,6.971
India,1999,IND,0.926,229.019,6.735
